train_start,train_end,test_start,test_end,train_rows,test_rows,train_days,test_days,train_share__GIVN SE Equity,train_share__HOLN SE Equity,train_share__LOGN SE Equity,train_share__KNIN SE Equity,train_share__GEBN SE Equity,train_share__LONN SE Equity,test_share__LONN SE Equity,test_share__NESN SE Equity,train_share__NESN SE Equity,test_share__NOVN SE Equity,train_share__NOVN SE Equity,test_share__PGHN SE Equity,train_share__PGHN SE Equity,test_share__ROG SE Equity,train_share__ROG SE Equity,test_share__SCMN SE Equity,train_share__SCMN SE Equity,test_share__SIKA SE Equity,train_share__SIKA SE Equity,test_share__SLHN SE Equity,train_share__SLHN SE Equity,test_share__SREN SE Equity,train_share__SREN SE Equity,test_share__UBSG SE Equity,train_share__UBSG SE Equity
2017-12-27,2020-12-27,2021-01-01,2021-02-01,13930,380,2515,380,0.18054558506819812,0.18054558506819812,0.18054558506819812,0.18054558506819812,0.171356783919598,0.10646087580760948,1.0,,,,,,,,,,,,,,,,,,
2018-01-27,2021-01-27,2021-02-01,2021-03-01,13932,380,2515,380,0.18051966695377547,0.18051966695377547,0.18051966695377547,0.18051966695377547,0.14420040195233993,0.13372093023255813,1.0,,,,,,,,,,,,,,,,,,
2018-02-24,2021-02-24,2021-03-01,2021-04-01,13952,437,2515,437,0.18026089449541285,0.18026089449541285,0.18026089449541285,0.18026089449541285,0.11819094036697247,0.16076548165137614,0.4919908466819222,0.5080091533180778,,,,,,,,,,,,,,,,,
2018-03-27,2021-03-27,2021-04-01,2021-05-01,14011,380,2515,380,0.17950181999857254,0.17950181999857254,0.17950181999857254,0.17950181999857254,0.09071443865534223,0.17950181999857254,,1.0,0.011776461351795019,,,,,,,,,,,,,,,,
2018-04-26,2021-04-26,2021-05-01,2021-06-01,13993,361,2515,361,0.17973272350460945,0.17973272350460945,0.17973272350460945,0.17973272350460945,0.06510398056170942,0.17973272350460945,,1.0,0.03623240191524334,,,,,,,,,,,,,,,,
2018-05-27,2021-05-27,2021-06-01,2021-07-01,14050,418,2515,418,0.1790035587188612,0.1790035587188612,0.1790035587188612,0.1790035587188612,0.0404982206405694,0.1790035587188612,,1.0,0.06448398576512455,,,,,,,,,,,,,,,,
2018-06-26,2021-06-26,2021-07-01,2021-08-01,14090,418,2515,418,0.17849538679914834,0.17849538679914834,0.17849538679914834,0.17849538679914834,0.01355571327182399,0.17849538679914834,,1.0,0.09396735273243435,,,,,,,,,,,,,,,,
2018-07-27,2021-07-27,2021-08-01,2021-09-01,14075,418,2515,418,0.16284191829484904,0.17868561278863232,0.17868561278863232,0.17868561278863232,,0.17868561278863232,,1.0,0.12241563055062167,,,,,,,,,,,,,,,,
2018-08-27,2021-08-27,2021-09-01,2021-10-01,14152,418,2515,418,0.13651780667043528,0.17771339739966083,0.17771339739966083,0.17771339739966083,,0.17771339739966083,,0.7129186602870813,0.15262860373092144,0.28708133971291866,,,,,,,,,,,,,,,
2018-09-26,2021-09-26,2021-10-01,2021-11-01,14155,399,2515,399,0.10851289297068174,0.17767573295655245,0.17767573295655245,0.17767573295655245,,0.17767573295655245,,,0.17767573295655245,1.0,0.0031084422465559873,,,,,,,,,,,,,,
2018-10-27,2021-10-27,2021-11-01,2021-12-01,14159,418,2515,418,0.07924288438449043,0.1776255385267321,0.1776255385267321,0.1776255385267321,,0.1776255385267321,,,0.1776255385267321,1.0,0.032629422981849,,,,,,,,,,,,,,
2018-11-26,2021-11-26,2021-12-01,2022-01-01,14217,399,2515,399,0.05359780544418654,0.1769008932967574,0.1769008932967574,0.1769008932967574,,0.1769008932967574,,,0.1769008932967574,1.0,0.061897728072026446,,,,,,,,,,,,,,
2018-12-27,2021-12-27,2022-01-01,2022-02-01,14237,399,2515,399,0.028236285734354147,0.17665238463159375,0.17665238463159375,0.17665238463159375,,0.17665238463159375,,,0.17665238463159375,1.0,0.08850179110767718,,,,,,,,,,,,,,
2019-01-27,2022-01-27,2022-02-01,2022-03-01,14313,380,2515,380,0.004191993292810731,0.17571438552364982,0.17571438552364982,0.17571438552364982,,0.17571438552364982,,,0.17571438552364982,1.0,0.11723607908894013,,,,,,,,,,,,,,
2019-02-24,2022-02-24,2022-03-01,2022-04-01,14333,437,2515,437,,0.15453847763901485,0.17546919695806878,0.17546919695806878,,0.17546919695806878,,,0.17546919695806878,0.9153318077803204,0.14358473452870996,0.08466819221967964,,,,,,,,,,,,,
2019-03-27,2022-03-27,2022-04-01,2022-05-01,14355,361,2515,361,,0.12671543016370604,0.1752002786485545,0.1752002786485545,,0.1752002786485545,,,0.1752002786485545,,0.17248345524207592,1.0,,,,,,,,,,,,,
2019-04-26,2022-04-26,2022-05-01,2022-06-01,14345,399,2515,399,,0.1009410944579993,0.1753224119902405,0.1753224119902405,,0.1753224119902405,,,0.1753224119902405,,0.1753224119902405,1.0,0.022446845590798188,,,,,,,,,,,,
2019-05-27,2022-05-27,2022-06-01,2022-07-01,14383,399,2515,399,,0.07425432802614197,0.17485920878815267,0.17485920878815267,,0.17485920878815267,,,0.17485920878815267,,0.17485920878815267,1.0,0.05144962803309463,,,,,,,,,,,,
2019-06-26,2022-06-26,2022-07-01,2022-08-01,14383,399,2515,399,,0.04783424876590419,0.17485920878815267,0.17485920878815267,,0.17485920878815267,,,0.17485920878815267,,0.17485920878815267,1.0,0.07786970729333241,,,,,,,,,,,,
2019-07-27,2022-07-27,2022-08-01,2022-09-01,14364,418,2515,418,,0.017474241158451684,0.17509050403787246,0.17509050403787246,,0.17509050403787246,,,0.17509050403787246,,0.17509050403787246,1.0,0.10707323865218601,,,,,,,,,,,,
2019-08-27,2022-08-27,2022-09-01,2022-10-01,14402,418,2515,418,,,0.17462852381613664,0.1656714345229829,,0.17462852381613664,,,0.17462852381613664,,0.17462852381613664,1.0,0.13581447021247048,,,,,,,,,,,,
2019-09-26,2022-09-26,2022-10-01,2022-11-01,14364,399,2515,399,,,0.17509050403787246,0.13700918964076858,,0.17509050403787246,,,0.17509050403787246,,0.17509050403787246,0.21052631578947367,0.16262879420774157,0.7894736842105263,,,,,,,,,,,
2019-10-27,2022-10-27,2022-11-01,2022-12-01,14383,418,2515,418,,,0.17485920878815267,0.10776611277202253,,0.17485920878815267,,,0.17485920878815267,,0.17485920878815267,,0.17485920878815267,1.0,0.017937843287214074,,,,,,,,,,
2019-11-26,2022-11-26,2022-12-01,2023-01-01,14402,399,2515,399,,,0.17462852381613664,0.07991945563116234,,0.17462852381613664,,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,1.0,0.04693792528815442,,,,,,,,,,
2019-12-27,2022-12-27,2023-01-01,2023-02-01,14402,399,2515,399,,,0.17462852381613664,0.05353423135675601,,0.17462852381613664,,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,1.0,0.07332314956256075,,,,,,,,,,
2020-01-27,2023-01-27,2023-02-01,2023-03-01,14478,380,2515,380,,,0.17371183865174747,0.029631164525486947,,0.17371183865174747,,,0.17371183865174747,,0.17371183865174747,,0.17371183865174747,1.0,0.10180964221577565,,,,,,,,,,
2020-02-24,2023-02-24,2023-03-01,2023-04-01,14478,437,2515,437,,,0.17371183865174747,0.003384445365381959,,0.17371183865174747,,,0.17371183865174747,,0.17371183865174747,,0.17371183865174747,1.0,0.12805636137588064,,,,,,,,,,
2020-03-27,2023-03-27,2023-04-01,2023-05-01,14421,342,2515,342,,,0.1461757159697663,,,0.17439844670965954,,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,0.48830409356725146,0.1562304971915956,0.5116959064327485,,,,,,,,,
2020-04-26,2023-04-26,2023-05-01,2023-06-01,14440,380,2515,380,,,0.12098337950138505,,,0.17416897506925208,,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,1.0,0.008171745152354571,,,,,,,,
2020-05-27,2023-05-27,2023-06-01,2023-07-01,14459,418,2515,418,,,0.09454319109205339,,,0.17394010650805727,,,0.17394010650805727,,0.17394010650805727,,0.17394010650805727,,0.17394010650805727,1.0,0.03575627636766028,,,,,,,,
2020-06-26,2023-06-26,2023-07-01,2023-08-01,14421,399,2515,399,,,0.06712433257055683,,,0.17439844670965954,,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,1.0,0.06088343388114555,,,,,,,,
2020-07-27,2023-07-27,2023-08-01,2023-09-01,14459,418,2515,418,,,0.03935265232727021,,,0.17394010650805727,,,0.17394010650805727,,0.17394010650805727,,0.17394010650805727,,0.17394010650805727,1.0,0.09094681513244346,,,,,,,,
2020-08-27,2023-08-27,2023-09-01,2023-10-01,14421,399,2515,399,,,0.009153318077803204,,,0.17439844670965954,,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,1.0,0.11885444837389918,,,,,,,,
2020-09-26,2023-09-26,2023-10-01,2023-11-01,14402,418,2515,418,,,,,,0.15477017080960978,,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,0.7799043062200957,0.14671573392584364,0.22009569377990432,,,,,,,
2020-10-27,2023-10-27,2023-11-01,2023-12-01,14440,418,2515,418,,,,,,0.12673130193905818,,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,1.0,0.0024238227146814403,,,,,,
2020-11-26,2023-11-26,2023-12-01,2024-01-01,14421,361,2515,361,,,,,,0.09791276610498578,,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,1.0,0.030095000346716593,,,,,,
2020-12-27,2023-12-27,2024-01-01,2024-02-01,14421,399,2515,399,,,,,,0.07156230497191596,,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,1.0,0.05644546147978642,,,,,,
2021-01-27,2024-01-27,2024-02-01,2024-03-01,14440,399,2515,399,,,,,,0.04515235457063712,,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,1.0,0.08400277008310249,,,,,,
2021-02-25,2024-02-25,2024-03-01,2024-04-01,14421,380,2515,380,,,,,,0.017543859649122806,,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,1.0,0.11046390680257957,,,,,,
2021-03-27,2024-03-27,2024-04-01,2024-05-01,14421,399,2515,399,,,,,,,,,0.16295679911240551,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,,0.17439844670965954,1.0,0.1394494140489564,,,,,,
2021-04-26,2024-04-26,2024-05-01,2024-06-01,14459,380,2515,380,,,,,,,,,0.13887544090186044,,0.17394010650805727,,0.17394010650805727,,0.17394010650805727,,0.17394010650805727,0.1763157894736842,0.1653641330659105,0.8236842105263158,,,,,
2021-05-27,2024-05-27,2024-06-01,2024-07-01,14402,380,2515,380,,,,,,,,,0.11172059436189419,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,1.0,0.01513678655742258,,,,
2021-06-26,2024-06-26,2024-07-01,2024-08-01,14402,437,2515,437,,,,,,,,,0.08269684766004722,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,1.0,0.044160533259269545,,,,
2021-07-27,2024-07-27,2024-08-01,2024-09-01,14440,399,2515,399,,,,,,,,,0.05484764542936288,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,,0.17416897506925208,1.0,0.07430747922437674,,,,
2021-08-27,2024-08-27,2024-09-01,2024-10-01,14383,399,2515,399,,,,,,,,,0.02468191615101161,,0.17485920878815267,,0.17485920878815267,,0.17485920878815267,,0.17485920878815267,,0.17485920878815267,1.0,0.10102203990822499,,,,
2021-09-26,2024-09-26,2024-10-01,2024-11-01,14402,437,2515,437,,,,,,,,,,,0.17157339258436327,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,1.0,0.12991251215109012,,,,
2021-10-27,2024-10-27,2024-11-01,2024-12-01,14402,399,2515,399,,,,,,,,,,,0.1425496458825163,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,,0.17462852381613664,0.37593984962406013,0.15893625885293708,0.6240601503759399,,,
2021-11-26,2024-11-26,2024-12-01,2025-01-01,14383,342,2515,342,,,,,,,,,,,0.11367586734339151,,0.17485920878815267,,0.17485920878815267,,0.17485920878815267,,0.17485920878815267,,0.17485920878815267,1.0,0.012028088715845094,,
2021-12-27,2024-12-27,2025-01-01,2025-02-01,14383,399,2515,399,,,,,,,,,,,0.08725578808315372,,0.17485920878815267,,0.17485920878815267,,0.17485920878815267,,0.17485920878815267,,0.17485920878815267,1.0,0.03844816797608287,,
2022-01-27,2025-01-27,2025-02-01,2025-03-01,14307,380,2515,380,,,,,,,,,,,0.05850283078213462,,0.175788075767107,,0.175788075767107,,0.175788075767107,,0.175788075767107,,0.175788075767107,1.0,0.06255679038233032,,
2022-02-24,2025-02-24,2025-03-01,2025-04-01,14307,399,2515,399,,,,,,,,,,,0.031942405815335154,,0.175788075767107,,0.175788075767107,,0.175788075767107,,0.175788075767107,,0.175788075767107,1.0,0.0891172153491298,,
2022-03-27,2025-03-27,2025-04-01,2025-05-01,14326,380,2515,380,,,,,,,,,,,0.0027223230490018148,,0.17555493508306574,,0.17555493508306574,,0.17555493508306574,,0.17555493508306574,,0.17555493508306574,1.0,0.11950300153566941,,
2022-04-26,2025-04-26,2025-05-01,2025-06-01,14345,380,2515,380,,,,,,,,,,,,,0.1528755663994423,,0.1753224119902405,,0.1753224119902405,,0.1753224119902405,,0.1753224119902405,0.9631578947368421,0.14583478563959568,0.03684210526315789,
2022-05-27,2025-05-27,2025-06-01,2025-07-01,14307,386,2515,386,,,,,,,,,,,,,0.12406514293702384,,0.175788075767107,,0.175788075767107,,0.175788075767107,,0.175788075767107,,0.17278255399454812,1.0,
2022-06-26,2025-06-26,2025-07-01,2025-08-01,14310,460,2515,460,,,,,,,,,,,,,0.09748427672955975,,0.17575122292103423,,0.17575122292103423,,0.17575122292103423,,0.17575122292103423,,0.17575122292103423,1.0,0.023759608665269043
2022-07-27,2025-07-27,2025-08-01,2025-09-01,14332,400,2515,400,,,,,,,,,,,,,0.06816913201228021,,0.17548144013396594,,0.17548144013396594,,0.17548144013396594,,0.17548144013396594,,0.17548144013396594,1.0,0.054423667317890036
2022-08-27,2025-08-27,2025-09-01,2025-10-01,14334,440,2515,440,,,,,,,,,,,,,0.03899818613087763,,0.1754569554904423,,0.1754569554904423,,0.1754569554904423,,0.1754569554904423,,0.1754569554904423,1.0,0.08371703641691085
